Paragraph,Language
"Specifically, he urged researchers to investigate the schism between the monied and the poor within the African American community; to document how crimes committed by the economic beneficiaries of substandard housing in our citie affect the people who live in that housing, as well as other parts of those cities; and to examine the selfdestructive impulses that induce our political leaders to make choices that are contrary to the best interest of the public and those that drive young African American men toward annihilation.",English
"W e ' v e come a long way since the 60s. Legal segregation by race is a thing of the past. Racial discrimination is no longer socially acceptable. But in some ways we have once again become comfortable with a way of thinking about ourselves and our society that is damaging and can undermine the work that we have done. Today, as before, we must fight for priorities. The challenges of our day are to oppose hatred and the violence it spawns, to rectify injustices that result from the status quo, and to learn to live in the new world order.",English
"As your president, Dr. Richard Suinn seeks to demonstrate here in your opening ceremony that your association and our larger society are multicultural, multiracial, multilingual, and spiritually diverse. Learning to live in a diverse social order requires that we question the prevailing precepts of our society and not seek the comfort of isolation within our own small group. Too many of us have learned to decorate our room, whether it is an inspiration room, a religious room, a geographical room, or a classroom. But the h o u s e - - o u r h o u s e - - i s in trouble, and there is no safe haven.",English
"Gaps imposed between people as a matter of lawhave been bridged. Now there are new barriers to equality. We are separated not only by prejudices, but by money. The biggest gap today is not the race gap. It's the gap between the monied and the poor, between Wall Street and Appalachia.",English
"I ' v e spent a lot of the past year in Appalachia, partially to show that poverty is not just about racial minorities. Most poor people, as you know, are White, young, and female. Many of the poor in the U.S. are children. We have made the choice for the people who don't have enough money, including the good people of Appalachia, that they should be sicker and defer health care longer than people who have health insurance. A nation as wealthy as ours, as scientifical knowledgeable, as endowed, must not push more children deeper into poverty while wealth goes up. We are a better nation than that.",English
"Suzanne et Joseph étaient nés dans les deux premières années de leur arrivée à la colonie. Après la naissance de Suzanne, la mère abandonna l’enseignement d’état. Elle ne donna plus que des leçons particulières de français. Son mari avait été nommé directeur d’une école indigène et, disaient-elle, ils avaient vécu très largement malgré la charge de leurs enfants. ",French
"Cette opÃ©ration est fort dÃ©licate et fort importante; car la rÃ©sistance de la toile de coton, si mince, dont est fait l'aÃ©rostat, est calculÃ©e en raison de l'Ã©tendue du contact de cette toile avec le filet aux mailles serrÃ©es qui portera la nacelle. Le Horla, d'ailleurs, a Ã©tÃ© dessinÃ© par M. Mallet, construit sous ses yeux et par lui. Tout a Ã©tÃ© fait dans les ateliers de M. Jovis, par le personnel actif de la sociÃ©tÃ©, et rien au dehors. Ajoutons que tout est nouveau dans ce ballon, depuis le vernis jusqu'Ã  la soupape, ces deux choses essentielles de l'aÃ©rostation. Il doit rendre la toile impÃ©nÃ©trable au gaz, comme les flancs d'un navire sont impÃ©nÃ©trables Ã  l'eau. Les anciens vernis Ã  base d'huile de lin avaient le double inconvÃ©nient de fermenter et de brÃ»ler la toile qui, en peu de temps, se dÃ©chirait comme du papier. Les soupapes offraient ce danger de se refermer imparfaitement dÃ¨s qu'elles avaient Ã©tÃ© ouvertes et qu'Ã©tait brisÃ© l'enduit, dit cataplasme, dont on les garnissait. La chute de M. Lhoste, en pleine mer et en pleine nuit, a prouvÃ©, l'autre semaine, l'imperfection du vieux systÃ¨me.",French
"'A cinq heures prÃ©cises, j'entrais Ã  l'usine Ã  gaz de La Villette. On dirait les ruines colossales d'une ville de cyclopes. D'Ã©normes et sombres avenues s'ouvrent entre les lourds gazomÃ¨tres alignÃ©s l'un derriÃ¨re l'autre, pareils Ã  des colonnes monstrueuses, tronquÃ©es, inÃ©galement hautes et qui portaient sans doute, autrefois, quelque effrayant Ã©difice de fer. Dans la cour d'entrÃ©e, gÃ®t le ballon, une grande galette de toile jaune, aplatie Ã  terre, sous un filet. On appelle cela la mise en Ã©pervier; et il a l'air, en effet, d'un vaste poisson pris et mort. Deux ou trois cents personnes le regardent, assises ou debout, ou bien examinent la nacelle, un joli panier carrÃ©, un panier Ã  chair humaine qui porte sur son flanc, en lettres d'or, dans une plaque d'acajou: Le Horla. On se prÃ©cipite soudain, car le gaz pÃ©nÃ¨tre enfin dans le ballon par un long tube de toile jaune qui rampe sur le sol, se gonfle, palpite comme un ver dÃ©mesurÃ©. Mais une autre pensÃ©e, une autre image frappent tous les yeux et tous les esprits. C'est ainsi que la nature elle-mÃªme nourrit les Ãªtres jusqu'Ã  leur naissance. La bÃªte qui s'envolera tout Ã  l'heure commence Ã  se soulever, et les aides du capitaine Jovis, Ã  mesure que Le Horla grossit, Ã©tendent et mettent en place le filet qui le couvre, de faÃ§on Ã  ce que la pression soit bien rÃ©guliÃ¨re et Ã©galement rÃ©partie sur tous le points.",French
"On peut dire que les deux dÃ©couvertes du capitaine Jovis, celle du vernis principalement, sont d'une valeur inestimable pour l'aÃ©rostation. On en parle d'ailleurs dans la foule, et des hommes, qui semblent Ãªtre des spÃ©cialistes, affirment avec autoritÃ© que nous serons retombÃ©s avant les fortifications. Beaucoup d'autres choses encore sont blÃ¢mÃ©es dans ce ballon d'un nouveau type que nous allons expÃ©rimenter avec tant de bonheur et de succÃ¨s.",French
" grossit toujours, lentement. On y dÃ©couvre de petites dÃ©chirures faites pendant le transport; et on les bouche, selon l'usage, avec des morceaux de journal appliquÃ©s sur la toile en les mouillant. Ce procÃ©dÃ© d'obstruction inquiÃ¨te et Ã©meut le public. Pendant que le capitaine Jovis et son personnel s'occupent des derniers dÃ©tails, les voyageurs vont dÃ®ner Ã  la cantine de l'usine Ã  gaz, selon la coutume Ã©tablie. Quand nous ressortons, l'aÃ©rostat se balance, Ã©norme et transparent, prodigieux fruit d'or, poire fantastique que mÃ»rissent encore, en la couvrant de feu, les derniers rayons du soleil. Voici qu'on attache la nacelle, qu'on apporte les baromÃ¨tres, la sirÃ¨ne que nous ferons gÃ©mir et mugir dans la nuit, les deux trompes aussi, et les provisions de bouche, les pardessus, tout le petit matÃ©riel que peut contenir, avec les hommes, ce panier volant. Comme le vent pousse le ballon sur les gazomÃ¨tres, on doit Ã  plusieurs reprises l'en Ã©loigner pour Ã©viter un accident au dÃ©part.",French
"Tout Ã  coup le capitaine Jovis appelle les passagers. Le lieutenant Mallet grimpe d'abord dans le filet aÃ©rien entre la nacelle et l'aÃ©rostat, d'oÃ¹ il surveillera, durant toute la nuit, la marche du Horla Ã  travers le ciel, comme l'officier de quart, debout sur la passerelle, surveille la marche du navire. M. Etienne Beer monte ensuite, puis M. Paul Bessand, puis M. Patrice EyriÃ¨s, et puis moi. Mais l'aÃ©rostat est trop chargÃ© pour la longue traversÃ©e que nous devons entreprendre, et M. EyriÃ¨s doit, non sans grand regret, quitter sa place. M. Jovis, debout sur le bord de la nacelle, prie, en termes fort galants, les dames de s'Ã©carter un peu, car il craint, en s'Ã©levant, de jeter du sable sur leurs chapeaux; puis il commande: 'LÃ¢chez-tout! ' et tranchant d'un coup de couteau les cordes qui suspendent autour de nous le lest accessoire qui nous retient Ã  terre; il donne au Horla sa libertÃ©.",French
"En une seconde nous sommes partis. On ne sent rien; on flotte, on monte, on vole, on plane. Nos amis crient et applaudissent, nous ne les entendons presque plus; nous ne les voyons qu'Ã  peine. Nous sommes dÃ©jÃ  si loin! si haut! Quoi! nous venons de quitter ces gens lÃ -bas? Est-ce possible? Sous nous maintenant, Paris s'Ã©tale, une plaque sombre, bleuÃ¢tre, hachÃ©e par les rues, et d'oÃ¹ s'Ã©lancent de place en place, des dÃ´mes, des tours, des flÃ¨ches; puis, tout autour, la plaine, la terre que dÃ©coupent les routes longues, minces et blanches au milieu des champs verts, d'un vert tendre ou foncÃ©, et des bois presque noirs. La Seine semble un gros serpent roulÃ©, couchÃ© immobile, dont on n'aperÃ§oit ni la tÃªte ni la queue; elle vient de lÃ -bas, elle s'en va lÃ -bas, en traversant Paris, et la terre entiÃ¨re a l'air d'une immense cuvette de prÃ©s et de forÃªts qu'enferme Ã  l'horizon une montagne basse, lointaine et circulaire.",French
"Le soleil qu'on n'apercevait plus d'en bas reparaÃ®t pour nous, comme s'il se levait de nouveau, et notre ballon lui-mÃªme s'allume dans cette clartÃ©; il doit paraÃ®tre un astre Ã  ceux qui nous regardent. M. Mallet, de seconde en seconde, jette dans le vide une feuille de papier Ã  cigarettes et dit tranquillement: 'Nous montons, nous montons toujours', tandis que le capitaine Jovis, rayonnant de joie, se frotte les mains en rÃ©pÃ©tant: 'Hein? ce vernis, hein! ce vernis. 'On ne peut, en effet, apprÃ©cier les montÃ©es et les descentes qu'en jetant de temps en temps une feuille de papier Ã  cigarettes. Si ce papier, qui demeure, en rÃ©alitÃ©, suspendu dans l'air, semble tomber comme une pierre, c'est que le ballon monte; s'il semble au contraire s'envoler au ciel, c'est que le ballon descend.",French
"Les deux baromÃ¨tres indiquent cinq cents mÃ¨tres environ, et nous regardons, avec une admiration enthousiaste, cette terre que nous quittons, Ã  laquelle nous ne tenons plus par rien et qui a l'air d'une carte de gÃ©ographie peinte, d'un plan dÃ©mesurÃ© de province. Toutes ses rumeurs cependant nous arrivent distinctes, Ã©trangement reconnaissables. On entend surtout le bruit des roues sur les routes, le claquement des fouets, le 'hue' des charretier, le roulement et le sifflement des trains, et les rires des gamins qui courent et jouent sur les places. Chaque fois que nous passons sur un village, ce sont des clameurs enfantines qui dominent tout et montent dans le ciel avec le plus d'acuitÃ©.",French
"Des hommes nous appellent; des locomotives sifflent; nous rÃ©pondons avec la sirÃ¨ne qui pousse des gÃ©missements plaintifs, affreux, maigres, vraie voix d'Ãªtre fantastique errant autour du monde;Des lumiÃ¨res s'allument de place en place, feux isolÃ©s dans les fermes, chapelet de gaz dans les villes. Nous allons vers le nord-ouest aprÃ¨s avoir planÃ© longtemps sur le petit lac d'Enghien. Une riviÃ¨re apparaÃ®t: c'est l'Oise. Alors nous discutons pour savoir oÃ¹ nous sommes. Cette ville qui brille lÃ -bas, est-ce Creil ou Pontoise? Si nous Ã©tions sur Pontoise, on verrait semble-t-il la jonction de la Seine et de l'Oise; et puis ce feu, cet Ã©norme feu sur la gauche, n'est-ce pas le haut fourneau de Montataire?",French
"Nous nous trouvons en vÃ©ritÃ© sur Creil. Le spectacle est surprenant; sur la terre, il fait nuit et nous sommes encore dans la lumiÃ¨re, Ã  dix heures passÃ©es. Maintenant nous entendons les bruits lÃ©gers des champs, le double cri des cailles surtout, puis les miaulements des chats et les hurlements des chiens. Certes, les chiens sentent le ballon, le voient et donnent l'alarme. On les entend, par toute la plaine, aboyer contre nous et gÃ©mir, comme ils gÃ©missent Ã  la lune. Les boeuf aussi semblent se rÃ©veiller dans les Ã©tables, car ils mugissent; toutes les bÃªtes effrayÃ©es s'Ã©meuvent devant ce monstre aÃ©rien qui passe",French
"Et les odeurs du sol montent vers nous dÃ©licieuses, odeurs des foins, des fleurs, de la terre verte et mouillÃ©e, parfumant l'air, un air lÃ©ger, si lÃ©ger, si doux, si savoureux que jamais de ma vie je n'avais respirÃ© avec tant de bonheur. Un bien-Ãªtre profond, inconnu, m'envahit, bien-Ãªtre du corps et de l'esprit, fait de nonchalance, de repos infini, d'oubli, d'indiffÃ©rence Ã  tout et de cette sensation nouvelle de traverser l'espace sans rien sentir de ce qui rend insupportable le mouvement, sans bruit, sans secousses et sans trÃ©pidations.
TantÃ´t nous montons et tantÃ´t nous descendons. De minute en minute, le lieutenant Mallet, suspendu dans sa toile d'araignÃ©e, dit au capitaine Jovis: 'Nous descendons, jetez une demi-poignÃ©e. ' Et le capitaine, qui cause et rit avec nous, un sac de lest entre ses genoux, prend dans ce sac un peu de sable et le jette par-dessus bord.",French
"Un vieux pauvre, à barbe blanche, nous demanda l'aumône. Mon camarade Joseph Davranche lui donna cent sous. Je fus surpris. Il me dit: Ce misérable m'a rappelé une histoire que je vais te dire et dont le souvenir me poursuit sans cesse. La voici : Ma famille, originaire du Havre, n'était pas riche. On s'en tirait, voilà tout. Le père travaillait, rentrait tard du bureau et ne gagnait pas grand-chose.",French
"Ma mère souffrait beaucoup de la gêne où nous vivions, et elle trouvait souvent des paroles aigres pour son mari, des reproches voilés et perfides Le pauvre homme avait alors un geste qui me navrait. Il se passait la main ouverte sur le front, comme pour essuyer une sueur qui n'existait pas, et il ne répondait rien. Je sentais sa douleur impuissante. On économisait sur tout ; on n'acceptait jamais un dîner, pour n'avoir pas à le rendre ; on achetait les provisions au rabais, les fonds de boutique Mes soeurs faisaient leurs robes elles-mêmes et avaient de longues discussions sur le prix du galon qui valait quinze centimes le mètre. Notre nourriture ordinaire consistait en soupe grasse et boeuf accommodé à toutes les sauces Cela est sain et réconfortant, parait-il ; j'aurais préféré autre chose.",French
"On me faisait des scènes abominables pour les boutons perdus et les pantalons déchirés.Mais chaque dimanche nous allions faire notre tour de jetée en grande tenue. Mon père, en redingote, en grand chapeau, en gants, offrait le bras à ma mère, pavoisée comme un navire un jour de fête. Mes soeurs, prêtes les premières, attendaient le signal du départ ; mais, au dernier moment, on découvrait toujours une tache oubliée sur la redingote du père de famille, et il fallait bien vite l'effacer avec un chiffon mouillé de benzine.",French
"On se mettait en route avec cérémonie. Mes soeurs marchaient devant, en se donnant le bras. Elles étaient en âge de mariage, et on en faisait montre en ville. Je me tenais à gauche de ma mère, dont mon père gardait la droite. Et je me rappelle l'air pompeux de mes pauvres parents dans ces promenades du dimanche, la rigidité de leurs traits, la sévérité de leur allure. Ils avançaient d'un pas grave, le corps droit, les jambes raides, comme si une affaire d'une importance extrême eût dépendu de leur tenue.",French
" Hein ! si Jules était là-dedans, quelle surprise ! Mon oncle Jules, le frère de mon père, était le seul espoir de la famille, après en avoir été la terreur. J'avais entendu parler de lui depuis mon enfance, et il me semblait que je l'aurais reconnu du premier coup, tant sa pensée m'était devenue familière. Je savais tous les détails de son existence jusqu'au jour de son départ pour l'Amérique, bien qu'on ne parlât qu'à voix basse de cette période de sa vie.",French
"Un vieux pauvre, à barbe blanche, nous demanda l'aumône. Mon camarade Joseph Davranche lui donna cent sous. Je fus surpris. Il me dit:- Ce misérable m'a rappelé une histoire que je vais te dire et dont le souvenir me poursuit sans cesse. La voici :Ma famille, originaire du Havre, n'était pas riche. On s'en tirait, voilà tout. Le père travaillait, rentrait tard du bureau et ne gagnait pas grand-chose. J'avais deux soeurs. Ma mère souffrait beaucoup de la gêne où nous vivions, et elle trouvait souvent des paroles aigres pour son mari, des reproches voilés et perfides Le pauvre homme avait alors un geste qui me navrait. Il se passait la main ouverte sur le front, comme pour essuyer une sueur qui n'existait pas, et il ne répondait rien. Je sentais sa douleur impuissante. On économisait sur tout ; on n'acceptait jamais un dîner, pour n'avoir pas à le rendre ; on achetait les provisions au rabais, les fonds de boutique Mes soeurs faisaient leurs robes elles-mêmes et avaient de longues discussions sur le prix du galon qui valait quinze centimes le mètre. Notre nourriture ordinaire consistait en soupe grasse et boeuf accommodé à toutes les sauces Cela est sain et réconfortant, parait-il ; j'aurais préféré autre chose. On me faisait des scènes abominables pour les boutons perdus et les pantalons déchirés. Mais chaque dimanche nous allions faire notre tour de jetée en grande tenue. Mon père, en redingote, en grand chapeau, en gants, offrait le bras à ma mère, pavoisée comme un navire un jour de fête. Mes soeurs, prêtes les premières, attendaient le signal du départ ; mais, au dernier moment, on découvrait toujours une tache oubliée sur la redingote du père de famille, et il fallait bien vite l'effacer avec un chiffon mouillé de benzine.Mon père, gardant son grand chapeau sur la tête, attendait, en manches de chemise, que l'opération fût terminée, tandis que ma mère se hâtait, ayant ajusté ses lunettes de myope, et ôté ses gants pour ne les pas gâter. On se mettait en route avec cérémonie. Mes soeurs marchaient devant, en se donnant le bras. Elles étaient en âge de mariage, et on en faisait montre en ville. Je me tenais à gauche de ma mère, dont mon père gardait la droite. Et je me rappelle l'air pompeux de mes pauvres parents dans ces promenades du dimanche, la rigidité de leurs traits, la sévérité de leur allure. Ils avançaient d'un pas grave, le corps droit, les jambes raides, comme si une affaire d'une importance extrême eût dépendu de leur tenue. Et chaque dimanche, en voyant entrer les grands navires qui revenaient de pays inconnus et lointains, mon père prononçait invariablement les mêmes paroles : - Hein ! si Jules était là-dedans, quelle surprise ! Mon oncle Jules, le frère de mon père, était le seul espoir de la famille, après en avoir été la terreur. J'avais entendu parler de lui depuis mon enfance, et il me semblait que je l'aurais reconnu du premier coup, tant sa pensée m'était devenue familière. Je savais tous les détails de son existence jusqu'au jour de son départ pour l'Amérique, bien qu'on ne parlât qu'à voix basse de cette période de sa vie. Il avait eu, parait-il, une mauvaise conduite, c'est-à-dire qu'il avait mangé quelque argent, ce qui est bien le plus grand des crimes pour les familles pauvres. Chez les riches, un homme qui s'amuse fait des bêtises. Il est ce qu'on appelle en souriant, un noceur. Chez les nécessiteux, un garçon qui force les parents à écorner le capital devient un mauvais sujet, un gueux, un drôle",French
"Une fois là-bas, mon oncle Jules s'établit marchand de je ne sais quoi, et il écrivit qu'il gagnait un peu d'argent et qu'il espérait pouvoir dédommager mon père du tort qu'il lui avait fait. Cette lettre causa dans la famille une émotion profonde. Jules, qui ne valait pas, comme on dit, les quatre fers d'un chien, devint tout à coup un honnête homme, un garçon de coeur, un vrai Davranche, intègre comme tous les Davranche.",French
"Une seconde lettre, deux ans plus tard, disait : ""Mon cher Philippe, je t'écris pour que tu ne t'inquiètes pas de ma santé, qui est bonne. Les affaires aussi vont bien. Je pars demain pour un long voyage dans l'Amérique du Sud. Je serai peut-être plusieurs années sans te donner de mes nouvelles Si je ne t'écris pas, ne sois pas inquiet. Je reviendrai au Havre une fois fortune faite. J'espère que ce ne sera pas trop long, et nous vivrons heureux ensemble... "" Cette lettre était devenue l'évangile de la famille On la lisait à tout propos, on la montrait à tout le monde.",French
"La corrupción es considerada como un acto ilegal, el cual ocurre cuando una persona abusa de su poder para obtener algún beneficio para sí mismo o para su entorno cercano. Este acto requiere de la participación de dos o más actores: uno que por su posición de poder pueda ofrecer algo, ya sea un pago o un ofrecimiento de cualquier índole para obtener lo que desea y otro que esté dispuesto a recibir el pago o el soborno.",Spanish
"Estos actos los observamos diariamente, desde el transporte, al realizar trámites, al comprar, etc. puede suceder en los lugares menos pensados. En un establecimiento educacional puede darse entre profesores, en una oficina entre jefe y subalterno, en un diario entre un periodista y su fuente, etc.",Spanish
"Puedes creer que algunas personas consideran la corrupción algo útil, ellas argumentan que gran parte de las veces ayuda a esquivar las reglas innecesarias, acelera trámites, y hace ahorrar mucho tiempo. Sin embargo, estas personas no se dan cuenta o parecen realmente no tener conciencia que a largo plazo la corrupción perjudica a todas las personas, ya que la corrupción provoca fallas en todo sistema, por ejemplo, en la calidad de servicios médicos, baja calidad de los servicios educativos, fallas en la infraestructura vial, etc. ",Spanish
"Por ejemplo la baja calidad de los servicios médicos puede costarle la vida a una persona, la corrupción de edificios que no cumplen con los mínimos requisitos de seguridad, pueden costarle la vida a un ciudadano durante un temblor o incendio y así suma y sigue.",Spanish
"Por otro lado la corrupción política, muy conocida en el mundo entero, y repudiada por la mayoría de las personas, por el abuso hacia los ciudadanos comunes y corrientes, es conocida como el mal uso público del poder para conseguir una ventaja ilegitima, generalmente en forma secreta y privada, a espaldas de otros.",Spanish
"Consideremos en nuestro actuar habitual y como guía de todas nuestras acciones al término opuesto a la corrupción, la ""transparencia"".",Spanish
"Generalmente la corrupción rompe todo tejido social y la organización de está, ya que disminuye la confianza de los ciudadanos en las instituciones, el gobierno y entre ellos mismos, por otro lado también afecta el nivel ético de la sociedad en su conjunto y por ende la felicidad y satisfacción de las personas. En la medida que la corrupción se generaliza, los escrúpulos éticos se van perdiendo y la sociedad se va transformando.",Spanish
"Esperemos que la corrupción no toque nuestro mayor tesoro que son nuestros hijos, velemos por ello e intentemos ser personas transparentes y confiables, luchemos por un futuro mejor.",Spanish
"El aeropuerto se considera como un aeródromo para el tráfico regular de aviones. Es un área definida de la superficie, ya sea de tierra, agua o hielo propuesto para la llegada, salida y movimiento en superficie de aeronaves de distintos tipos con llegadas y salidas nacionales e internacionales. Habitualmente este término se aplica a todas las pistas donde aterrizan aviones, sin embargo el término correcto es aeródromo.",Spanish
"Los grandes aeropuertos cuentan con pistas de aterrizaje pavimentadas de uno o varios kilómetros de extensión, calles de rodaje, terminales de pasajeros y carga, grandes superficies de estacionamientos, etc. En los aeropuertos los aviones suelen recibir combustible, mantenimiento y reparaciones.",Spanish
"Un área importante de los aeropuertos es el ""centro de control de área"", en el cual se desempeñan los controladores del tráfico aéreo; personas encargadas de dirigir y controlar el movimiento de aeronaves en el aeropuerto y en la zona bajo su jurisdicción.",Spanish
Se considera también al aeropuerto como la área destinada a dar cabida a las aeronaves mientras se produce el embarque y desembarque de pasajeros y/o productos.,Spanish
"En los aeropuertos hay áreas destinadas al embarque y desembarque, servicios comerciales y aparcamiento de automóviles. Gran parte de los aeropuertos del mundo utilizan maquinas de rayos X para detectar posibles materiales peligrosos que se intenten internar en el país.",Spanish
"Además de todo lo anteriormente dicho, también encontramos dentro de estos recintos la aduana, lugar donde los pasajeros que salen o entran del país son controlados.Los aeropuertos más importantes ofrecen al pasajero una gran variedad de servicios, como salones VIP, centros comerciales,juegos, restaurantes, etc.",Spanish
"El mayor aeropuerto del mundo es el Aeropuerto Rey Khalid, en Arabia Saudita con un área total de 225 kilómetros cuadrados.",Spanish
"Solemos utilizar diariamente este elemento, pero si nos preguntarán ¿Qué es Internet? ¿Crees que serías capaz de responderlo? La verdad que son pocas las personas que saben lo que realmente es Internet, la utilizan diariamente, a veces todo el día o por muchas horas, pero pocos tienen claro, o saben decir que Internet es un conjunto descentralizado de redes de comunicación interconectadas.",Spanish
"Internet ha logrado un impacto profundo en el trabajo, el ocio y el conocimiento. Gracias a Internet, millones de personas cuentan con un acceso fácil e inmediato a gran cantidad de información en línea y de los más diversos temas.",Spanish
"Además de la búsqueda de información, Internet ofrece, entre otras cosas, la descarga de música, programas y videojuegos; sin embargo hay que tener en cuenta que esta facilidad de acceso, ha creado en gran cantidad de personas una especie de adicción, además de que en ocasiones la información entregada no es muy fiable, por lo tanto hay que tener precaución en esto.",Spanish
"Comparando a las enciclopedias y a las bibliotecas, Internet ha logrado descentralizar la información. Actualmente se ha ido extendiendo el acceso a Internet en casi todas partes del mundo, siendo relativamente fácil encontrar computadoras conectadas en regiones en las que nunca imaginamos podría contar con esta red.",Spanish
"En todo el mundo Internet es elogiado, ya que se considera como una gran fuente de conocimiento y de educación, viéndola así como una herramienta muy importante para el aprendizaje. Sin embargo a veces las enseñanzas que se reciben a través de la red pueden ser altamente negativas o perjudiciales, ejerciendo una función, en gran cantidad de casos, extremadamente negativa.",Spanish
"Zu meiner Familie gehören vier Personen. Die Mutter bin ich und dann gehört natürlich mein Mann dazu. Wir haben zwei Kinder, einen Sohn, der sechs Jahre alt ist und eine dreijährige Tochter.",German
"Wir wohnen in einem kleinen Haus mit einem Garten. Dort können die Kinder ein bisschen spielen. Unser Sohn kommt bald in die Schule, unsere Tochter geht noch eine Zeit lang in den Kindergarten. Meine Kinder sind am Nachmittag zu Hause. So arbeite ich nur halbtags.",German
Eigentlich gehören zu unserer Familie auch noch die Großeltern. Sie wohnen nicht bei uns. Sie haben ein Haus in der Nähe. Die Kinder gehen sie oft besuchen.,German
Maria und ihre Familie (A1) Vocabulary: A1: 88%A2: 4%B1: 2%?: 6% Mein Name ist Maria. Ich bin 30 Jahre alt. Zu meiner Familie gehören außer mir noch drei weitere Personen. Mein Mann Markus ist 31 Jahre alt. Wir haben zwei Kinder. Unser Sohn Heinrich ist drei Jahre alt. Unsere Tochter Valerie ist ein Jahr alt. Wir haben auch einen Hund und zwei Katzen. Der Hund heißt Maya und die Katzen Lana und Micki.,German
